id,text
0,girl
1,-PRON-
2,ball
3,ball boy
4,the umpire
5,a hindrance
6,-PRON- statement
7,player
8,-PRON- own call
9,many university level match
10,the case
11,many school level match
12,the referee
13,assistant
14,a player 's call
15,referee
16,a player 's request
17,the call
18,the ball
19,the player
20,a ball
21,the lobber
22,good defensive position
23,either an offensive or defensive weapon
24,the opponent 's court
25,the lob
26,an offensive or defensive weapon
27,an opponent
28,the net
29,an overhead smash
30,these tournament
31,-PRON- own idiosyncrasy
32,wimbledon
33,andre agassi
34,the event 's traditionalism
35,1988
36,1990
37,tennis fan
38,complex procedure
39,-PRON- own particular method
40,ticket
41,a match
42,a sequence
43,set
44,recreational player
45,any number
46,time availability
47,stamina
48,man
49,good - of - five - set match
50,woman
51,three
52,good - of - three - set match
53,first
54,two
55,the first player
56,two set
57,three set
58,the match
59,tie break
60,2015
61,one
62,one player
63,a two - game lead
64,these case
65,joan
66,an affair
67,-PRON- kid ' tennis coach
68,ivan
69,william baldwin
70,kid
71,bernard
72,jeff daniels
73,joan 's ex - husband
74,a tennis match
75,international tournament
76,second
77,31
78,the second consist
79,31 tournament
80,the year - end
81,commonwealth bank tournament of champions
82,bali
83,the year - end commonwealth bank tournament
84,champions
85,u.s
86,prize money
87,wta
88,the second main tier
89,the wta tour
90,a prize money
91,every event
92,tennis player
93,french
94,member
95,french club
96,the french championships
97,1891
98,tennis
99,australian
100,the australian open
101,1905
102,a term
103,bridge
104,game
105,the chair umpire
106,the end
107,the well - know phrase
108,premier event
109,the women 's tennis association tour
110,the most prestigious level
111,event
112,these event
113,the large reward
114,term
115,point
116,the premier category
117,premier mandatory premier tournament
118,premier mandatory
119,premier
120,the premier event
121,2009
122,twelve
123,twelve tournament
124,five
125,five tournament
126,5
127,four
128,four tournament
129,only two
130,only two tournament
131,the tier
132,the serve
133,electronic sensor
134,line judge
135,who
136,cyclops
137,hawk - eye
138,the hawk - eye system
139,close line
140,mean
141,an electronic review
142,professional tournament
143,this system
144,world team tennis
145,this challenge system
146,the australian wimbledon
147,the system
148,miami
149,miami masters
150,the us open
151,2006
152,us open series
153,the mark
154,the ball 's impact
155,the court surface
156,a call
157,reference
158,a roughly elliptical frame
159,a matrix
160,tightly pull string
161,a neck
162,a handle
163,the grip
164,the component
165,a tennis racket
166,racket
167,standard size
168,first 100 year
169,wood
170,string
171,animal gut
172,laminated wood construction
173,more strength
174,oversized racket
175,yet more power
176,these strong material
177,the production
178,technology
179,the use
180,synthetic string
181,a grip
182,a way
183,the racket
184,order
185,the placement
186,the shot
187,the angle
188,the racket face
189,the spin
190,the pace
191,various grip
192,most player
193,grip
194,slice
195,continental
196,a continental grip
197,slice shot
198,what shot
199,example
200,grass
201,clay
202,hardcourt
203,asphalt
204,carpet
205,indoor play
206,the receiver
207,a chance
208,the game
209,the next point
210,server
211,break point
212,particular importance
213,a receiver
214,30 - 40
215,15 - 40
216,one ( score
217,advantage
218,two ( score
219,( score
220,consecutive chance
221,-PRON- break point
222,a failure
223,the natural advantage
224,the server
225,the previous server
226,a break point
227,at least one
228,at least one break
229,a set
230,junior
231,atp
232,women 's tennis association
233,a world
234,an association
235,tennis professionals
236,a junior tour
237,association of tennis professionals
238,a world ranking
239,the international tennis federation
240,most junior
241,the international circuit
242,the main circuit
243,adult
244,the latter three circuit
245,opportunity
246,lleyton hewitt
247,frenchman
248,gaël monfils
249,some junior
250,australian lleyton hewitt
251,frenchman gaël monfils
252,the atp tour
253,absolute authority
254,factual determination
255,foot fault
256,the require part
257,the court
258,a net judge
259,service
260,a clear mistake
261,the right
262,a line judge
